Port,Protocol,Service,Detail
0,"tcp,udp",,"Port 0 is reserved by IANA, it is technically invalid to use, but possible. It is sometimes used to fingerprint machines, because different operating systems respond to this port in different ways. Some ISPs may block it because of exploits. Port 0 can be used by applications when calling the bind() command to request the next available dynamically allocated source port number."
1,udp,tcpmux,"TCP Port Service Multiplexer (IANA registered)

Sockets des Troie remote access trojan uses this port (a.k.a. Backdoor.Sockets23, Lame, Backdoor.Kamikaze, IRC_trojan, TROJ_Backdoor, W32/Cheval.gen, coded in Delphi 3, 06.1998). It might also use ports 1/udp, 5000, 5001, 30303, 50505, 60000 and 65000."
1,tcp,tcpmux,"Scans against this port are commonly used to test if a machine runs SGI Irix (as SGI is the only system that typically has this enabled). This service is almost never used in practice.

RFC1078 - TCPMUX acts much like Sun's portmapper, or Microsoft's end-point mapper in that it allows services to run on arbitrary ports. In the case of TCPMUX, however, after the ""lookup"" phase, all further communication continues to run over that port.

builtins.c in Xinetd before 2.3.15 does not check the service type when the tcpmux-server service is enabled, which exposes all enabled services and allows remote attackers to bypass intended access restrictions via a request to tcpmux port 1 (TCP/UDP). 
References: [CVE-2012-0862] [BID-53720] [OSVDB-81774]

Trojans that use this port: Breach.2001, SocketsDeTroie

Also see: CERT: CA-95.15.SGI.lp.vul"
2,tcp,compressnet,"trojans that use this port:  Death remote access trojan (coded in VB, afects Windows 9x), port can be changed. Files: death.exe, config.cfg

America's Army, Operation Flashpoint also use this port.

Port 2 is also registered with IANA for compressnet management utility."
3,"tcp,udp",compressnet,"Delta Force uses port 3 (TCP)
Midnight Commander
SynDrop trojan

Backdoor.Win32.Quux / Weak Hardcoded Credentials - the malware listens on TCP port 3. Authentication is required, however the password ""Faraon"" translated from Romanian as ""Pharaoh"" is weak and hardcoded in cleartext within the PE file. Third-party adversaries who can reach an infected host can call commands made available by the backdoor. Commands include uploading files and code execution. Theres a need to code a custom client to communicate with the infected host as nc64.exe and telnet send LF characters and will fail authentication when sending credentials containing ""\n"" etc. Once connected if we send any files they will be written to Windows\System unless calling the ""SetCurrDir"" commmand.
References: [MVID-2022-0656]

Compression Process (IANA official)"
4,tcp,sfs,"Self-Certifying File System(SFS) sfssd acceps connections on TCP port 4 and passes them to the appropriate SFS daemon. SFS is a secure, global file system with completely decentralized control. SFS uses NFS 3 as the underlying protocol for file access.

America's Army also uses this port.

Midnight Commander sometimes uses port 4/tcp as well."
5,tcp,trojans,"Incoming Routing Redirect Bomb, yoyo"
7,tcp,Echo,"Echo Service, somewhat outdated by ICMP echo. Port just echoes whatever is sent to it. This feature can be used in many attacks, such as Smurf/Fraggle.

See also: [RFC862]
ICP - Internet Caching Protocol - This protocol is used by HTTP caching proxies in order to coordinate working together in a cluster. Part of this implementation includes bouncing packets off the echo port in order to test if the peers are alive.

Act P202S VoIP WiFi phone undocumented open port, multiple vulnerabilities.
References: [CVE-2006-0374], [CVE-2006-0375], [BID-16288]"
7,udp,wol,WOL (Wake on LAN) typically uses UDP port 7 or 9. LANDESK Management Suite uses port 0 for WOL.
8,tcp,trojan,Ping Attack
9,"tcp,udp,sctp",Discard,"Discard server - this protocol is only installed on machines for test purposes. The service listening at this port (both TCP and UDP) simply discards any input.

WOL (Wake on LAN) typically uses UDP port 7 or 9 (LANDESK uses port 0).

Railroad Tycoon 3 also uses this port (TCP).

See also [RFC 863], [RFC 4960], [CVE-1999-0060]

Intrusions: Ascend kill 
This exploit kills Ascend routers by sending them a specially formatted malformed TCP packet. On certain versions of the Ascend operating system, the router can be forced to cause an internal error, resulting in the router rebooting."
10,tcp,misc,AT&T 5268ac router may listen on port 10 TCP
11,"tcp,udp",systat,"system / active users information.

On some UNIX machines, creating a TCP connection to this port will dump the active processes and who launched them. The original intent for this was to make remote management of UNIX easier. However, intruders will query the systat information in order to map out the system. 
This service is rarely available anymore because of these security concerns. 
On UNIX, there are also local commands that show this information, such as systat or ps.

Skun trojan also uses this port.

See also: [RFC866]"
12,tcp,games,Dark Ages of Camelot
13,"tcp,udp",Daytime,"Daytime service [RFC 867] - responds with the current time of day. Different machines respond with slightly different date/time format, so port can be used to fingerprint machines.

Dark and Light also uses this port.

Backdoor.Win32.Infexor.b / Remote Buffer Overflow - remote SEH Stack Buffer Overflow on HTTP server response when connecting to TCP Port 13.
References: [MVID-2021-0010]"
15,"tcp,udp",netstat,"Port used by netstat (a variant of systat, see port 11). Rarely available because of security concerns. It can be used to list active processes and who launched them on some UNIX machines.

Port also used by B2 trojan."
16,tcp,trojan,Skun
16,udp,applications,"Observer is vulnerable to a denial of service, caused by a NULL pointer dereference when copying an octet string from a variable binding list. By sending a specially-crafted SNMP SetRequest PDU sent to UDP port 16, a remote attacker could exploit this vulnerability to cause the application to crash.
References: [XFDB-73909], [BID-52409]"
17,"tcp,udp",qotd,"Responds with Quote of the Day. See [RFC 865]

Skun trojan also uses this port."
18,"tcp,udp",msp,"Message Send Protocol
Also: Remote Write Protocol (RWP)
Related RFCs: [RFC 1159] [RFC 1312] [RFC 1756]

Skun trojan also uses this port."
19,"tcp,udp",Chargen,"Generates and replies with a stream of characters (TCP) or a packet containing characters (UDP). Should be disabled if there is no specific need for it, source for potential attacks. [RFC 864]

Skun trojan also uses this port."
20,"tcp,udp,sctp",FTP - data,"File Transfer Protocol - Data 
See also [RFC 4960]

The default configuration of BenHur Firewall release 3 update 066 fix 2 allows remote attackers to access arbitrary services by connecting from source port 20. 
References: [CVE-2002-2307] [BID-5279]

Some trojans also use this port: Amanda, Senna Spy FTP server."
